Prevalence Sequence ID,CARD Short Name,species_count
3349,APH(6)-Id,96
183,sul2,90
3351,sul1,80
3352,qacEdelta1,78
3350,APH(3'')-Ib,70
5879,APH(3'')-Ib,55
6152,TEM-1,54
3392,arr-3,53
7405,APH(3'')-Ib,53
5953,tetR,50
6820,AAC(3)-IId,50
752,APH(3')-IIIa,50
5873,dfrA1,49
3378,msrE,48
3377,mphE,48
690,APH(3')-Ia,48
5822,NDM-1,47
6990,ANT(2'')-Ia,46
6258,tet(A),45
6682,dfrA12,44
3356,mphA,43
2571,AAC6_Ie_APH2_Ia,43
6683,aadA2,42
3353,catB3,42
2726,tet(M),42
5927,SAT-2,41
3443,TEM-116,40
5874,aadA2,40
5821,BRP(MBL),40
9659,aadA,39
5950,floR,39
5774,APH(3')-Ia,39
5783,floR,39
6582,OXA-1,38
6153,catI,38
6505,dfrA14,38
8156,tet(C),37
5771,APH(6)-Id,37
7054,OXA-10,36
7292,AAC(6')-Ib-cr6,36
7018,tet(B),35
6468,QnrS1,35
5928,aadA,34
5870,tet(B),34
6718,aadA5,34
3394,aadA16,33
11315,AAC(3)-IIe,32
7055,cmlA5,32
6680,TEM-1,32
6148,aadA,32
7533,OXA-2,32
3393,dfrA27,32
6723,CTX-M-15,32
2775,SAT-4,31
2767,ErmB,31
6849,CTX-M-14,31
6255,dfrA1,30
8805,APH(4)-Ia,29
6814,KPC-2,29
7252,AAC(3)-IIe,29
8955,tet(A),29
7206,Ecol_catII,29
2950,ErmB,29
7262,SHV-12,29
8122,AAC(6')-Ib-cr6,29
6818,tet(D),28
7264,DHA-1,28
7056,arr-2,28
6014,aadA,28
5972,aadA3,27
9579,armA,27
7304,BRP(MBL),26
7966,CTX-M-3,26
6817,QnrB19,26
7422,catB2,26
15148,dfrA5,25
5787,APH(3')-VI,25
8225,sul2,25
8071,OXA-9,25
3347,sul1,25
7281,AAC(6')-IIc,25
6855,dfrA19,25
7241,dfrA14,25
7265,QnrB4,25
2667,ErmB,25
6256,aadA,24
7535,sul1,24
6854,MCR-9.1,24
6146,sul3,24
7053,ANT(3'')-IIa,24
8069,APH(6)-Id,24
7207,qacEdelta1,24
3348,tet(D),24
9413,CARB-3,24
6722,tet(A),24
9180,FosA3,24
7375,catB3,23
9308,cmlA1,23
9797,floR,23
6065,APH(3')-Ia,23
2818,aad(6),23
7467,AAC(6')-Ib-cr5,23
7423,VIM-1,22
6636,aadA,22
6147,qacL,22
2272,qacJ,22
147110,ANT(6)-Ia,22
5885,AAC(6')-IIa,22
2808,dfrG,22
7779,QnrB20,22
6589,aadA,22
9003,aadA2,22
6457,aadA,22
7048,LAP-2,21
6719,dfrA17,21
2690,tet(M),21
7373,QnrB1,21
7015,QnrB6,21
3120,ErmC,21
6991,QnrA1,21
6587,aadA,21
6012,AAC(6')-Ib4,21
7702,OXA-48,20
8072,AAC(6')-Ib9,20
9243,KPC-3,20
3183,qacJ,20
8160,dfrA15,20
116179,tet(W),20
8057,AAC(3)-IIg,20
7401,AAC(6')-Il,20
8058,EreA2,20
8056,EreA2,20
9212,QnrS2,19
3382,aadA3,19
15776,tet(K),19
7,tet(O),19
5949,APH(3')-VIa,19
3396,sul1,19
7017,IMP-1,19
6720,TEM-1,19
8992,IMP-4,18
4427,lsaE,18
21075,AAC(3)-IV,18
7942,tet(A),18
9152,CTX-M-55,18
7757,AAC(6')-Ib10,18
1216,tet(45),18
6994,dfrA16,18
9182,mef(B),18
8954,APH(3')-IIa,18
8157,dfrA27,18
10408,ANT(4')-Ib,18
3344,tet(W),18
7650,QnrA1,17
6623,tetR,17
7463,adeF,17
3096,ErmB,17
7849,AAC(6')-Ib9,17
8866,rmtB,17
5778,APH(3')-VIa,17
7263,AAC(6')-Ib10,17
8070,APH(3'')-Ib,17
6075,APH(3'')-Ib,17
6076,dfrA14,17
10234,cmlA9,17
8839,ANT(3'')-IIa,17
751,tet(M),17
7372,CMY-4,16
7943,floR,16
68170,QnrD1,16
6095,sul2,16
2902,tet(O),16
123175,ANT(9)-Ia,16
9554,tet(A),16
3971,lnuC,16
10879,CMY-2,16
2,tet(M),16
7665,TEM-160,16
7204,qacE,15
8123,dfrB1,15
13937,QnrVC1,15
25966,catII,15
3107,tet(M),15
7305,NDM-5,15
3381,cmlA6,15
9181,linG,15
7403,tet(A),15
7786,tet(X4),15
3385,tet(C),15
3969,Ssui_ACT_CHL,15
5777,PER-1,15
8806,AAC(3)-IV,15
15623,dfrA1,14
15152,aadA,14
7784,aadA22,14
13467,AAC(6')-Ib10,14
13100,APH(3'')-Ib,14
482,tet(45),14
12127,qacEdelta1,14
11834,VIM-2,14
11353,catB3,14
11352,AAC(6')-Ib-cr6,14
7781,dfrA8,14
20543,lnuG,14
2785,tet(M),14
9209,TEM-1,14
6259,TEM-1,14
2819,dfrF,14
9150,AAC(3)-IV,14
9445,rmtC,14
6833,APH(3')-Ia,14
9066,CTX-M-2,14
8993,qacJ,14
9528,SHV-5,13
17774,AAC(3)-IV,13
3384,dfrA16,13
316,qacJ,13
7965,TEM-214,13
8639,qacJ,13
8807,tet(A),13
10235,qacEdelta1,13
15149,SCO-1,13
48255,mphA,13
11106,cmx,13
38070,qacL,13
5986,adeF,13
6126,APH(3'')-Ib,13
3395,sul1,13
21949,catB3,13
12082,APH(3'')-Ib,13
3346,lnuC,13
7429,VIM-4,13
8360,sul1,13
13589,EreA2,13
11430,tet(Q),13
147070,ANT(4')-Ib,12
7780,ANT(3'')-IIa,12
182884,catA8,12
8851,TEM-216,12
9420,catB3,12
8864,CTX-M-65,12
7670,cmlA6,12
10876,APH(6)-Id,12
11107,APH(6)-Id,12
10831,AAC(6')-Ib10,12
10824,qacG,12
11348,ErmB,12
8224,APH(3'')-Ib,12
10498,QnrVC4,12
10406,PC1_blaZ,12
123154,mecA,12
12797,AAC(6')-Ib4,12
10237,sul1,12
13956,dfrA15b,12
14462,dfrA17,12
14819,tet(A),12
55854,AAC(3)-IIc,12
17053,MCR-1.1,12
9542,GES-5,12
149534,dfrC,12
10287,dfrF,12
3319,ErmT,12
1,ErmB,12
200,aadS,12
2981,tet(S),12
2786,tet(M),12
7468,catB3,12
78030,ANT(6)-Ia,12
8359,rmtC,11
8161,APH(3')-Ia,11
120283,tet(A),11
8159,floR,11
9530,AAC(3)-Ia,11
7205,IMP-1,11
5779,OXA-58,11
8076,adeF,11
13863,OXA-21,11
9309,qacL,11
6995,CTX-M-9,11
67408,cmlA4,11
6993,catI,11
5875,EreA,11
8637,SHV-7,11
9207,OXA-896,11
27096,APH(6)-Id,11
27786,ANT(3'')-IIa,11
30578,APH(3')-Ia,11
9032,AAC(6')-Ib10,11
9010,qacG,11
9001,sul1,11
42465,dfrA21,11
11409,CfxA3,11
7415,aphA15,11
7406,qacE,11
14314,aadA,11
10874,SFO-1,11
44849,ANT(3'')-IIa,11
6145,mef(B),11
7669,catB11,11
63889,dfrA10,11
20218,dfrA23,11
11413,CfxA2,11
